epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.217,1.57068,2.42595,1.4437,0,0,0,0,0,0,0,0.000416581,0.000416581,0.000416581
2,989.72,1.58031,1.69144,1.47485,0,0,0,0,0,0,0,0.000792002,0.000792002,0.000792002
3,1467.97,1.54412,1.56889,1.44589,0,0,0,0,0,0,0,0.00112617,0.00112617,0.00112617
4,1944.47,1.49761,1.45814,1.42785,0,0,0,0,0,0,0,0.00106437,0.00106437,0.00106437
5,2413.21,1.45046,1.33123,1.39159,0,0,0,0,0,0,0,0.0010025,0.0010025,0.0010025
6,2876.67,1.41583,1.25177,1.36582,0,0,0,0,0,0,0,0.000940625,0.000940625,0.000940625
7,3357.34,1.38716,1.20231,1.35309,0,0,0,0,0,0,0,0.00087875,0.00087875,0.00087875
8,3825.94,1.36207,1.14983,1.33625,0,0,0,0,0,0,0,0.000816875,0.000816875,0.000816875
9,4305.1,1.34194,1.10689,1.31686,0,0,0,0,0,0,0,0.000755,0.000755,0.000755
10,4778.08,1.32114,1.06293,1.30443,0,0,0,0,0,0,0,0.000693125,0.000693125,0.000693125
11,5259.09,1.26167,0.85505,1.26606,0,0,0,0,0,0,0,0.00063125,0.00063125,0.00063125
12,5729.72,1.24281,0.81157,1.2456,0,0,0,0,0,0,0,0.000569375,0.000569375,0.000569375
13,6194.59,1.22113,0.78036,1.23099,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
14,6660.15,1.19926,0.74944,1.21796,0,0,0,0,0,0,0,0.000445625,0.000445625,0.000445625
15,7123.23,1.17997,0.72342,1.19921,0,0,0,0,0,0,0,0.00038375,0.00038375,0.00038375
16,7596.03,1.16602,0.69583,1.19366,0,0,0,0,0,0,0,0.000321875,0.000321875,0.000321875
17,8073.49,1.14627,0.66979,1.17996,0,0,0,0,0,0,0,0.00026,0.00026,0.00026
18,8529.52,1.12978,0.64614,1.16941,0,0,0,0,0,0,0,0.000198125,0.000198125,0.000198125
19,8991.16,1.11301,0.62292,1.15773,0,0,0,0,0,0,0,0.00013625,0.00013625,0.00013625
20,9505.81,1.0937,0.60696,1.14575,0.94231,0.90627,0.94799,0.62674,1.17534,0.60804,1.15709,7.4375e-05,7.4375e-05,7.4375e-05
